Action Date,Company Name,Ticker,Split Ratio,Fractional Behavior
2023-10-06,"Save Foods, Inc.",SVFD,1:7,True
2023-10-06,VivoPower International PLC,VVPR,1:10,True
2023-10-05,"China SXT Pharmaceuticals, Inc.",SXTC,1:25,True
2023-10-02,"EBET, INC.",EBET,1:30,True
2023-09-28,SciSparc Ltd.,SPRC,1:26,False
2023-09-27,"Rubicon Technologies, Inc.",RBT,1:8,True
2023-09-26,"Flotek Industries, Inc.",FTK,1:6,True
2023-09-26,"Vaccinex, Inc.",VCNX,1:15,True
2023-09-25,Connexa Sports Technologies Inc.,CNXA,1:40,True
2023-09-25,E-Home Household Service Holdings Limited,EJH,1:10,True
2023-09-25,"Gaucho Group Holdings, Inc.",VINO,1:10,True
2023-09-22,"Sigma Additive Solutions, Inc.",SASI,1:20,True
2023-09-21,PolyPid Ltd.,PYPD,1:30,False
2023-09-20,"Habytat, Inc.",DATS,1:10,True
2023-09-18,Antelope Enterprise Holdings Limited,AEHL,1:10,True
2023-09-18,"AYRO, Inc.",AYRO,1:8,True
2023-09-15,Kaixin Auto Holdings,KXIN,1:15,True
2023-09-14,"Astra Space, Inc.",ASTR,1:15,True
2023-09-13,"Avinger, Inc.",AVGR,1:15,True
2023-09-12,Ampio Pharmaceuticals Inc.,AMPE,1:20,True
2023-09-12,"Ascent Solar Technologies, Inc.",ASTI,1:200,True
2023-09-12,"Leafly Holdings, Inc.",LFLY,1:20,True
2023-09-11,1847 Holdings LLC,EFSH,1:25,True
2023-09-08,"IMAC Holdings, Inc.",BACK,1:30,True
2023-09-07,Grom Social Enterprises Inc.,GROM,1:20,True
2023-09-07,Ryvyl Inc.,RVYL,1:10,True
2023-08-31,SeqLL Inc.,SQL,1:40,True
2023-09-26,"Digital Media Solutions, Inc.",DMS,1:15,True
2023-08-28,Faraday Future Intelligent Electric Inc.,FFIE,1:80,True
2023-08-25,"Recruiter.com Group, Inc.",RCRT,1:15,True
2023-09-29,BTC Digital Ltd.,METX,1:20,True
2023-08-24,Momentus Inc. Class A,MNTS,1:50,True
2023-08-23,"Sunlight Financial Holdings, Inc.",SUNL,1:20,True
2023-08-18,"Aditxt, Inc.",ADTX,1:40,True
2023-08-15,Crown Electrokinetics Corp.,CRKN,1:60,True
2023-08-11,"Mullen Automotive, Inc.",MULN,1:9,True
2023-08-07,"Mobiquity Technologies, Inc.",MOBQ,1:15,True
2023-08-04,Otonomo Technologies Ltd.,OTMO,1:15,True
2023-08-02,"Smart for Life, Inc.",SMFL,1:3,True
2023-08-01,Taoping Inc.,TAOP,1:10,True
2023-07-28,"Katapult Holdings, Inc.",KPLT,1:25,True
2023-07-28,"Ontrak, Inc.",OTRK,1:6,True
2023-07-28,Universe Pharmaceuticals Inc.,UPC,1:6,True
2023-07-26,Benitec Biopharma Inc.,BNTC,1:17,True
2023-07-10,authID Inc.,AUID,1:8,True
2023-07-10,"Jiuzi Holdings, Inc.",JZXN,1:18,True
2023-07-06,Talis Biomedical Corporation,TLIS,1:15,True
2023-07-05,Agrify Corporation,AGFY,1:20,True
2023-07-05,Biofrontera Inc.,BFRI,1:20,True
2023-07-05,"22nd Century Group, Inc.",XXII,1:15,True
2023-07-03,"Biotricity, Inc.",BTCY,1:6,True
2023-07-03,PainReform Ltd. Ordinary Shares,PRFX,1:10,True
2023-06-30,"Inhibikase Therapeutics, Inc.",IKT,1:6,True
2023-06-29,"Marpai, Inc. Class A",MRAI,1:4,True
2023-06-27,"American Rebel Holdings, Inc.",AREB,1:25,True
2023-06-22,"TRxADE HEALTH, Inc.",MEDS,1:15,True
2048-08-20,"IZEA Worldwide, Inc.",IZEA,1:4,True
2023-06-15,"ATI Physical Therapy, Inc.",ATIP,1:50,True
2023-06-15,Boxlight Corporation Class A,BOXL,1:8,True
2023-06-12,"Creative Medical Technology Holdings, Inc.",CELZ,1:10,True
2023-06-09,Golden Minerals Company,AUMN,1:25,True
2023-06-05,"Acorda Therapeutics, Inc.",ACOR,1:20,True
2023-06-01,"Troika Media Group, Inc.",TRKA,1:25,True
2023-06-01,"Calyxt, Inc.",CLXT,1:5,True
2023-05-30,Bit Origin Limited Ordinary Shares,BTOG,1:30,True
2023-05-26,"LiqTech International, Inc.",LIQT,1:8,True
2023-05-24,"Nova Lifestyle, Inc.",NVFY,1:5,True
2023-08-28,"SeaChange International, Inc.",SEAC,1:20,True
2023-05-17,LadRx Corporation,LADX,1:100,True
2023-05-16,Greenidge Generation Holdings Inc. Class A,GREE,1:10,True
2023-05-16,"Stronghold Digital Mining, Inc. Class A",SDIG,1:10,True
2023-05-15,"Xenetic Biosciences, Inc.",XBIO,1:10,True
2023-05-15,Galmed Pharmaceuticals Ltd. Ordinary Shares,GLMD,1:15,True
